time,source,keyword,frame,D/H,link,relevancy,immigrant category
18,1,2,3,0,https://metro.co.uk/2024/06/08/government-loses-docs-migrants-new-windrush-scandal-20997819/,0,5
18,1,2,13,1,https://metro.co.uk/2024/06/10/tories-latest-visa-hike-tear-family-apart-21006675/,0,5
18,1,2,9,1,https://metro.co.uk/2024/06/13/inside-harry-kanes-family-life-wife-kate-goodland-21028499/,0,5
18,1,2,4,0,https://metro.co.uk/2024/06/27/iraqi-girl-16-choked-death-raped-sinking-migrant-boat-21119230/,1,5
19,1,2,2,0,https://metro.co.uk/2024/07/02/behind-doors-londons-secret-squats-21139703/,0,5
19,1,2,4,0,https://metro.co.uk/2024/07/03/banksy-hits-back-home-secretary-called-glasto-boat-art-vile-21155910/,0,5
19,1,2,11,0,https://metro.co.uk/2024/07/03/uk-political-parties-immigration-policies-explained-vote-21154630/,0,5
19,1,2,3,0,https://metro.co.uk/2024/07/31/southport-stabbing-girls-killed-bigots-want-spread-hate-21333309/,0,5
20,1,2,3,0,https://metro.co.uk/2024/08/02/tommy-robinsons-right-hand-led-edl-hijack-murders-three-children-21347135/,0,5
20,1,2,13,1,https://metro.co.uk/2024/08/02/new-video-southport-stabbings-suspect-bbc-children-need-video-21352539/,1,2
20,1,2,5,0,https://metro.co.uk/2024/08/04/rotherham-riot-holiday-inn-migrant-hotel-know-far-21358399/,0,5
20,1,2,2,0,https://metro.co.uk/2024/08/05/metro-readers-sick-mobs-seek-justify-21364972/,0,5
20,1,2,5,0,https://metro.co.uk/2024/08/07/tory-councillors-wife-arrested-saying-set-fire-migrant-hotels-21375410/,0,5
20,1,2,3,0,https://metro.co.uk/2024/08/07/metro-readers-respond-riots-one-person-a-minority-not-represent-all-21380088/,0,5
20,1,2,1,0,https://metro.co.uk/2024/08/08/anti-racist-britain-showed-thousands-protestors-outnumber-violent-rioters-21385058/,0,5
20,1,2,5,0,https://metro.co.uk/2024/08/08/white-nationalists-say-protecting-women-children-riot-21386394/,1,5
20,1,2,4,0,https://metro.co.uk/2024/08/09/cruise-ship-makes-dramatic-rescue-save-migrants-stricken-boat-21392287/,0,5
20,1,2,13,1,https://metro.co.uk/2024/08/21/government-encouraging-people-babies-21465073/,1,5
20,1,2,11,0,https://metro.co.uk/2024/08/21/labours-immigration-plans-wont-stop-boats-21463846/,0,5
2,1,3,2,0,https://metro.co.uk/2023/02/11/the-taliban-threatened-to-shoot-me-just-because-i-wanted-to-go-to-university-18252596/,1,3
2,1,3,1,0,https://metro.co.uk/2023/02/12/asylum-seekers-make-sacrifices-to-survive-amid-cost-of-living-crisis-18198056/,0,2
2,1,3,2,0,https://metro.co.uk/2023/02/14/i-came-from-albania-to-the-uk-in-the-back-of-a-lorry-with-my-two-daughters-18275077/,1,5
2,1,3,9,1,https://metro.co.uk/2023/02/20/i-live-with-my-parents-an-asylum-seeker-and-two-ukrainians-18313486/,1,1
2,1,3,2,0,https://metro.co.uk/2023/02/21/im-an-asylum-seeker-and-was-in-the-hotel-targeted-by-far-right-rioters-18316836/,1,5
3,1,3,13,1,https://metro.co.uk/2023/03/08/london-woman-is-running-2500km-dressed-as-a-human-disco-ball-18401575/,1,5
3,1,3,2,0,https://metro.co.uk/2023/03/10/woman-dies-after-carrying-unborn-foetus-inside-her-for-nine-years-18420919/,1,5
3,1,3,13,1,https://metro.co.uk/2023/03/14/ive-fostered-over-50-kids-now-i-provide-support-to-teenage-refugees-18435760/,0,5
3,1,3,7,1,https://metro.co.uk/2023/03/18/snapshot-the-babies-in-remote-afghanistan-saved-by-trainee-midwives-18451872/,1,3
3,1,3,9,1,https://metro.co.uk/2023/03/23/transgender-asylum-seeker-left-in-limbo-two-years-after-landing-in-the-uk-18453037/,1,2
3,1,3,5,0,https://metro.co.uk/2023/03/24/three-women-killed-in-shelling-of-shelter-for-ukrainian-refugees-18499030/,1,1
3,1,3,3,0,https://metro.co.uk/2023/03/27/cornwall-clashes-outside-refugee-hotel-amid-hundreds-of-protesters-18507041/,0,5
3,1,3,9,1,https://metro.co.uk/2023/03/28/my-mum-fled-to-the-uk-by-kindertransport-refugee-kids-today-deserve-better-18511660/,1,5
4,1,3,2,0,https://metro.co.uk/2023/04/05/i-was-kidnapped-and-tortured-by-the-militia-for-13-days-after-i-escaped-to-the-uk-18552565/,1,5
5,1,3,5,0,https://metro.co.uk/2023/05/14/grave-concerns-after-camp-for-homeless-asylum-seekers-set-alight-18782732/,1,5
6,1,3,2,0,https://metro.co.uk/2023/06/20/i-attempted-suicide-twice-while-awaiting-a-decision-on-my-asylum-case-18956305/,0,3
6,1,3,6,0,https://metro.co.uk/2023/06/25/afghanistan-barrister-still-gets-terrible-texts-from-trapped-women-19009656/,1,3
6,1,3,9,1,https://metro.co.uk/2023/06/27/im-russian-claiming-asylum-in-the-uk-because-im-outspoken-against-putin-18996296/,0,1
7,1,3,13,1,https://metro.co.uk/2023/07/04/harry-styles-invites-three-ukrainian-refugees-to-poland-show-19064779/,0,1
7,1,3,9,1,https://metro.co.uk/2023/07/18/as-a-child-refugee-i-fell-in-love-with-comics-now-i-write-for-marvel-19079741/,0,5
7,1,3,1,0,https://metro.co.uk/2023/07/19/police-break-up-protesters-in-clash-over-asylum-barge-in-dorset-19152033/,0,5
8,1,3,9,1,https://metro.co.uk/2023/08/15/i-thought-id-be-killed-in-front-of-my-children-as-we-fled-afghanistan-19331152/,1,3
9,1,3,3,0,https://metro.co.uk/2023/09/04/alan-kurdi-did-the-photo-of-a-dead-child-on-a-beach-change-anything-19443927/,0,2
9,1,3,9,1,https://metro.co.uk/2023/09/12/the-taliban-tried-to-make-me-into-a-suicide-bomber-19444609/,0,3
9,1,3,12,0,https://metro.co.uk/2023/09/26/suella-braverman-to-question-post-war-refugee-rules-in-speech-19556460/,1,5
9,1,3,11,0,https://metro.co.uk/2023/09/26/braverman-refugee-speech-one-of-the-most-grotesque-by-a-minister-ever-19561769/,1,5
9,1,3,11,0,https://metro.co.uk/2023/09/26/suella-braverman-speech-america-global-asylum-rules-refugee-convention-19560681/,1,5
9,1,3,9,1,https://metro.co.uk/2023/09/26/i-didnt-think-id-be-mocked-for-my-disability-after-moving-to-the-uk-19542769/,0,2
9,1,3,11,0,https://metro.co.uk/2023/09/27/anger-as-braverman-says-asylum-seekers-pretend-to-be-gay-for-special-treatment-19568080/,1,5
9,1,3,11,0,https://metro.co.uk/2023/09/27/sir-elton-john-criticises-suella-braverman-over-lgbt-refugee-speech-19563179/,1,5
9,1,3,9,1,https://metro.co.uk/2023/09/27/i-organised-nigerias-first-ever-pride-event-then-had-to-flee-16025662/,1,5
10,1,3,2,0,https://metro.co.uk/2023/10/03/ukrainian-refugee-dies-after-she-set-alight-by-jealous-ex-husband-19594943/,1,1
10,1,3,10,0,https://metro.co.uk/2023/10/12/dozens-killed-after-israel-bombs-palestinian-refugee-camps-19653691/,1,6
10,1,3,9,1,https://metro.co.uk/2023/10/23/i-took-the-afghan-girl-picture-heres-what-happened-next-19692753/,1,3
10,1,3,3,0,https://metro.co.uk/2023/10/28/as-teachers-we-need-more-help-to-teach-refugee-children-19724613/,1,3
11,1,3,10,0,https://metro.co.uk/video/israeli-warplanes-hit-maghazi-refugee-camp-central-gaza-strip-3053339/,1,6
12,1,3,9,1,https://metro.co.uk/2023/12/10/a-strangers-kindness-saved-brother-killed-im-trans-19923999/,1,5
12,1,3,6,1,https://metro.co.uk/2023/12/12/waited-4-years-miracle-baby-5-months-old-killed-19961002/,1,6
12,1,3,5,0,https://metro.co.uk/2023/12/25/dozens-killed-israeli-airstrike-83km-christmas-story-began-20023103/,1,6
12,1,3,2,0,https://metro.co.uk/2018/12/10/children-catch-scabies-hellhole-council-home-covered-faeces-8228338/,1,5
13,1,3,11,0,https://metro.co.uk/video/taiwan-opposition-leader-concedes-defeat-ruling-party-wins-election-3099877/,1,5
